ID,Assay_Num,Assay_Date,Depth_Top,Core_Location,Temperature,High_Temp,Light_Period,Treatment,Media,Germinated
3494,3,2010,0,2,30,30,15,None,SandSoil,1
3495,3,2010,0,2,30,30,15,None,SandSoil,1
3496,3,2010,0,2,30,30,15,None,SandSoil,1
3497,3,2010,0,2,30,30,15,None,SandSoil,1
3498,3,2010,0,2,30,30,15,None,SandSoil,1
3499,3,2010,0,2,30,30,15,None,SandSoil,1
3500,3,2010,0,2,30,30,15,None,SandSoil,1
3501,3,2010,0,2,30,30,15,None,SandSoil,0
3502,3,2010,0,2,30,30,15,None,SandSoil,0
3503,3,2010,0,2,30,30,15,None,SandSoil,0
3504,3,2010,0,2,30,30,15,None,SandSoil,0
3505,3,2010,0,2,30,30,15,None,SandSoil,0
3506,3,2010,0,2,30,30,15,None,SandSoil,0
3507,3,2010,0,2,30,30,15,None,SandSoil,0
3508,3,2010,0,2,30,30,15,None,SandSoil,0
3509,3,2010,0,2,30,30,15,None,SandSoil,0
3510,3,2010,0,2,30,30,15,None,SandSoil,0
3511,3,2010,0,2,30,30,15,None,SandSoil,0
3512,3,2010,0,2,30,30,15,None,SandSoil,0
3513,3,2010,0,2,30,30,15,None,SandSoil,0
3514,3,2010,0,2,30,30,15,None,SandSoil,0
3515,3,2010,0,2,30,30,15,None,SandSoil,0
3516,3,2010,0,2,30,30,15,None,SandSoil,0
3517,3,2010,0,2,30,30,15,None,SandSoil,0
3518,3,2010,0,2,30,30,15,None,SandSoil,0
3519,3,2010,0,2,30,30,15,None,SandSoil,0
2421,3,2010,2,2,30,30,15,Auxin,SandSoil,0
2848,3,2010,2,2,30,30,15,Bleach+Water,SandSoil,0
3067,3,2010,2,2,30,30,15,Ethylene,SandSoil,0
3267,3,2010,2,2,30,30,15,Gibberellic Acid,SandSoil,0
3461,3,2010,2,2,30,30,15,None,SandSoil,1
3462,3,2010,2,2,30,30,15,None,SandSoil,0
3463,3,2010,2,2,30,30,15,None,SandSoil,0
3464,3,2010,2,2,30,30,15,None,SandSoil,0
3465,3,2010,2,2,30,30,15,None,SandSoil,0
3466,3,2010,2,2,30,30,15,None,SandSoil,0
3467,3,2010,2,2,30,30,15,None,SandSoil,0
3468,3,2010,2,2,30,30,15,None,SandSoil,0
3469,3,2010,2,2,30,30,15,None,SandSoil,0
3470,3,2010,2,2,30,30,15,None,SandSoil,0
3471,3,2010,2,2,30,30,15,None,SandSoil,0
3472,3,2010,2,2,30,30,15,None,SandSoil,0
3473,3,2010,2,2,30,30,15,None,SandSoil,0
3474,3,2010,2,2,30,30,15,None,SandSoil,0
3475,3,2010,2,2,30,30,15,None,SandSoil,0
3476,3,2010,2,2,30,30,15,None,SandSoil,0
3477,3,2010,2,2,30,30,15,None,SandSoil,0
3478,3,2010,2,2,30,30,15,None,SandSoil,0
3479,3,2010,2,2,30,30,15,None,SandSoil,0
3480,3,2010,2,2,30,30,15,None,SandSoil,0
3481,3,2010,2,2,30,30,15,None,SandSoil,0
3482,3,2010,2,2,30,30,15,None,SandSoil,0
3483,3,2010,2,2,30,30,15,None,SandSoil,0
3484,3,2010,2,2,30,30,15,None,SandSoil,0
3485,3,2010,2,2,30,30,15,None,SandSoil,0
3486,3,2010,2,2,30,30,15,None,SandSoil,0
3487,3,2010,2,2,30,30,15,None,SandSoil,0
3488,3,2010,2,2,30,30,15,None,SandSoil,0
3489,3,2010,2,2,30,30,15,None,SandSoil,0
3490,3,2010,2,2,30,30,15,None,SandSoil,0
3718,3,2010,2,2,30,30,15,Water Bath,SandSoil,0
2621,3,2010,6,2,30,30,15,Bleach,SandSoil,0
2622,3,2010,6,2,30,30,15,Bleach,SandSoil,0
3350,3,2010,14,2,30,30,15,None,SandSoil,0
3351,3,2010,14,2,30,30,15,None,SandSoil,0
3352,3,2010,14,2,30,30,15,None,SandSoil,0
3353,3,2010,14,2,30,30,15,None,SandSoil,0
3354,3,2010,14,2,30,30,15,None,SandSoil,0
3355,3,2010,14,2,30,30,15,None,SandSoil,0
3342,3,2010,16,2,30,30,15,None,SandSoil,0
3343,3,2010,16,2,30,30,15,None,SandSoil,0
3344,3,2010,16,2,30,30,15,None,SandSoil,0
3345,3,2010,16,2,30,30,15,None,SandSoil,0
3346,3,2010,16,2,30,30,15,None,SandSoil,0
2349,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2350,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2351,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2352,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2353,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2354,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2355,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2356,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2357,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2358,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2359,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2360,3,2010,18,2,30,30,15,Auxin,SandSoil,0
2564,3,2010,18,2,30,30,15,Bleach,SandSoil,0
2565,3,2010,18,2,30,30,15,Bleach,SandSoil,0
2566,3,2010,18,2,30,30,15,Bleach,SandSoil,0
2567,3,2010,18,2,30,30,15,Bleach,SandSoil,0
2568,3,2010,18,2,30,30,15,Bleach,SandSoil,0
